tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
5671,189.0,2000,912,29,1317,677,6,336,1398.32,0.657,0.649,0.596,0.055,0.482,0.162,0.027,76,7,22,4,8,0
5701,190.0,2000,1020,30,1323,671,6,328,1358.34,0.655,0.647,0.600,0.055,0.485,0.163,0.028,60,8,38,2,9,0
5731,191.0,2000,1082,30,1330,664,6,320,1334.57,0.653,0.645,0.601,0.055,0.487,0.163,0.028,68,3,20,1,4,0
5761,192.0,2000,1185,30,1326,668,6,311,1321.30,0.654,0.645,0.606,0.055,0.486,0.163,0.027,71,2,18,0,6,0
5791,193.0,2000,1277,30,1324,670,6,288,1333.80,0.654,0.647,0.606,0.055,0.485,0.163,0.027,74,1,26,1,9,0
5821,194.0,2000,1422,30,1325,669,6,304,1330.36,0.653,0.647,0.608,0.055,0.486,0.163,0.026,67,1,20,1,4,0
5851,195.0,2000,1532,29,1325,669,6,287,1316.36,0.652,0.647,0.613,0.055,0.486,0.164,0.026,72,1,19,1,1,0
5881,196.0,2000,1619,29,1322,672,6,289,1336.11,0.653,0.648,0.613,0.055,0.485,0.164,0.026,79,1,16,0,1,0
5911,197.0,2000,1751,29,1310,684,6,280,1317.85,0.657,0.652,0.616,0.055,0.481,0.163,0.025,66,0,29,1,3,0
5941,198.0,2000,1759,29,1307,687,6,272,1330.47,0.658,0.654,0.617,0.055,0.480,0.163,0.025,60,0,24,1,6,0
5971,199.0,2000,1876,29,1295,699,6,274,1297.71,0.660,0.658,0.620,0.055,0.476,0.163,0.025,71,0,27,0,5,0
6001,200.0,2000,1917,29,1292,700,8,284,1246.69,0.661,0.659,0.623,0.056,0.475,0.163,0.025,68,0,24,0,3,0
6031,201.0,2000,2074,29,1282,710,8,282,1270.47,0.664,0.663,0.626,0.056,0.472,0.162,0.024,72,0,27,0,4,0
6061,202.0,2000,2202,29,1274,720,6,277,1288.91,0.665,0.667,0.628,0.055,0.469,0.162,0.024,81,1,26,0,5,0
6091,203.0,2000,2387,29,1262,733,5,267,1272.46,0.669,0.671,0.631,0.055,0.465,0.161,0.022,70,0,23,0,5,0
6121,204.0,2000,2432,29,1254,741,5,273,1262.38,0.670,0.673,0.633,0.055,0.463,0.161,0.022,79,0,27,0,1,0
